pk,user_pk,caption,like_count,taken_at
3507913259974268792,51494287566,"Warren Buffet’s 🗣️BEST investing advice 

“Only buy something that you’d be happy to hold if the market shut down for 10 years.”

Here are 10 stocks I WILL hold forevvaaaa
A thread 🧵 ⬇️",263,1732395869
3511884667989207637,1957756995,"Сделаем ChatGPT мастером всех сфер! Вот как превратить нейросеть в универсального эксперта.
	1.	Зайдите в настройки ChatGPT.
	2.	Откройте вкладку «Персонализация».
	3.	Вставьте следующий промт в первое окно:",524,1732869297
3502625617675138577,10924172884,"Ranking of the greatest inventions of all time:

1. 🇮🇶 The Wheel
2. 🇺🇸 Electricity
3. 🇺🇸 The Internet
4. 🇩🇪 The Printing Press
5. 🇺🇸 The Telephone
6. 🇬🇧 Antibiotics (Penicillin)
7. 🇺🇸 The Airplane
8. 🇬🇧 Vaccination
9. 🇬🇧 The Steam Engine
10. 🇺🇸 The Computer
11. 🇺🇸 Light Bulb
12. 🇩🇪 The Internal Combustion Engine
13. 🇺🇸 The Automobile
14. 🇺🇸 The Refrigerator
15. 🇮🇹 The Telescope
16. 🇺🇸 Television
17. 🇫🇷 The Camera
18. 🇺🇸 Nuclear Power
19. 🇨🇳 The Compass
20. 🇳🇱 The Microscope

more👇",257,1731765533
3535872492848029494,70981082737,"Porn = Artificial Intimacy
Alcohol = Artificial Joy
Junk Food = Artificial Nourishment
Drugs = Artificial Bliss
Smoking = Artificial Calm
Celebrities = Artificial Role Models
Social Media = Artificial Connection

Don’t sacrifice the real and authentic for cheap dopamine. ♠️",224,1735728869
3331576594534432643,60416752048,"/imagine Claude 3 on iOS 18

iOS 18, Apple's upcoming major software update, is rumored to incorporate a variety of new features, with a significant focus on artificial intelligence. Among the potential partnerships for AI features in iOS 18, Anthropic, a startup backed by Google and Amazon, has been mentioned as a possible collaborator alongside other major AI players like OpenAI and Google.",203,1711374900
3491058834523106480,61102128227,happy halloween! 🎃 halloween2024,9812,1730386822
3426176493664240551,44134409,"I tried to list my top ten favorite John Williams scores, an impossible task. Here’s where I got to:

Close Encounters
Star Wars
Indiana Jones
Empire Strikes Back
E.T.
Jurassic Park
Schindler’s List
Home Alone
Harry Potter
Catch Me If You Can

That is an insane list, and still it leaves out Jaws, Superman, JFK, A.I. Artificial Intelligence, Munich, Saving Private Ryan, Lincoln, Memoirs of a Geisha, and a dozen more. It also leaves out all the other Star Wars movies, which are PHENOMENAL scores.",328,1722652087
3367357173607283306,19720490,"I am so lucky to work with Brian Barrett @wired, because he tells me he wrote “a dumb blog” and it’s actually the best thing I’ve read about OpenAI’s announcements all day:

https://www.wired.com/story/openai-gpt-4o-chatgpt-artificial-intelligence-her-movie/",178,1715640278
3474138934912049667,65534338753,rescue poor trapped giraffe 🦒🦒😱 #smilestation #AwesomeWorks #rescue #fyp,49716,1728369700
3229799065578443235,424626609,"Getting your dental insurance claim summarily denied can leave you stuck with a costly medical bill or unable to smile for photos. 

Do you have experience with denials of dental insurance claims? If so, we’d love to hear from you: https://propub.li/3QyA3Hk",112,1699242073
3459317271332351348,10924172884,"Ranking of the greatest inventions of all time:

1. 🇮🇶 The Wheel
2. 🇺🇸 Electricity
3. 🇺🇸 The Internet
4. 🇩🇪 The Printing Press
5. 🇺🇸 The Telephone
6. 🇬🇧 Antibiotics (Penicillin)
7. 🇺🇸 The Airplane
8. 🇬🇧 Vaccination
9. 🇬🇧 The Steam Engine
10. 🇺🇸 The Computer
11. 🇺🇸 Light Bulb
12. 🇩🇪 The Internal Combustion Engine
13. 🇺🇸 The Automobile
14. 🇺🇸 The Refrigerator
15. 🇮🇹 The Telescope
16. 🇺🇸 Television
17. 🇫🇷 The Camera
18. 🇺🇸 Nuclear Power
19. 🇨🇳 The Compass
20. 🇳🇱 The Microscope

more👇",325,1726602775
3175444595047200392,6056471754,"The AMPTP release proposed protections for writers surrounding the use of Generative Artificial Intelligence as they seek to end the WGA strike:

• Written material produced by GAI will not be considered literary material.

• Writers will not be disadvantaged if any part of a script is based on GAI-produced material, meaning the writer’s compensation, credit and separated rights will not be affected.",117,1692762515
